Age,Salary,Gender,Location,Property_Type,RAM,Credit_Score,Churn,Marital_Status,Dependents,Employment_Type,Loan_Amount,Internet_Usage,Fraud_Suspected,Approved_Loan
30,1500000,M,Los Angeles,3BHK,,400,Yes,Widowed,N/A,Salaried,,Low,No,No
Unknown,70000,Female,New York,Studio,2GB,400,Yes,,N/A,,10000,Low,No,No
,1500000,F,Chicago,2BHK,2GB,,Yes,Divorced,3,Salaried,5000,Medium,No,Yes
Unknown,60000,,New York,Studio,2GB,300,Yes,,0,Business,5000,Low,No,
,80000,F,Los Angeles,1BHK,2GB,700,Yes,,N/A,Self-Employed,Unknown,,No,Yes
Unknown,60000,Male,New York,Studio,32GB,400,Yes,Married,1,Self-Employed,20000,Very High,No,No
25,80000,,New York,Studio,6GB,700,Yes,Divorced,N/A,Salaried,5000,,No,Yes
,1500000,Female,New York,Studio,,,No,Divorced,3,Business,150000,Medium,No,Yes
Unknown,70000,Other,New York,Studio,,,Yes,Divorced,,Self-Employed,10000,,No,
30,N/A,,Chicago,2BHK,32GB,400,Yes,,1,Business,10000,High,No,
Unknown,N/A,M,New York,2BHK,32GB,,Yes,Widowed,3,Self-Employed,50000,Very High,No,Yes
25,70000,Male,New York,2BHK,16GB,Poor,Yes,Divorced,,Business,5000,High,No,Yes
45,90000,,Los Angeles,1BHK,16GB,,Yes,,1,Unemployed,,High,No,
,1500000,M,New York,Studio,6GB,600,Yes,Married,2,Business,Unknown,Medium,No,
40,1500000,M,,2BHK,,,Yes,Widowed,0,Business,20000,Low,No,Yes
30,60000,,Chicago,4bhk,16GB,800,Yes,Married,0,Salaried,,High,No,
Unknown,1500000,Male,Chicago,Studio,2GB,700,Yes,Widowed,3,Unemployed,Unknown,,No,Yes
28,1500000,,Los Angeles,Studio,8GB,600,Yes,,,,10000,Low,No,Yes
45,70000,Male,Chicago,Studio,,Excellent,Yes,Single,0,Salaried,,,No,No
45,50000,,Chicago,3BHK,2GB,600,Yes,Widowed,,,Unknown,,No,
30,70000,Other,,Studio,2GB,Excellent,Yes,Married,,Self-Employed,10000,Low,No,Yes
30,90000,M,Los Angeles,4bhk,2GB,300,Yes,,3,,10000,Low,No,Yes
,90000,Male,Los Angeles,Studio,2GB,,No,Widowed,3,Business,10000,,No,No
28,50000,Female,New York,3BHK,,,Yes,Single,3,,10000,Medium,No,No
45,90000,Other,New York,1BHK,32GB,400,Yes,Single,0,Salaried,150000,Very High,No,No
40,90000,,New York,4bhk,8GB,Poor,Yes,Divorced,3,Salaried,10000,Very High,No,Yes
28,90000,,Los Angeles,3BHK,16GB,800,Yes,Divorced,0,,50000,Medium,No,Yes
Unknown,60000,Male,Los Angeles,2BHK,8GB,400,Yes,Married,3,Salaried,,Low,No,Yes
Unknown,1500000,,Los Angeles,Studio,,300,Yes,Widowed,N/A,Salaried,Unknown,,No,Yes
25,90000,Male,Los Angeles,2BHK,2GB,Poor,Yes,Widowed,,,50000,Very High,No,
,90000,Other,New York,Studio,8GB,Excellent,Yes,Divorced,3,Unemployed,150000,,No,Yes
,60000,Male,New York,1BHK,8GB,400,Yes,Widowed,1,Unemployed,50000,Medium,No,Yes
30,80000,,New York,1BHK,6GB,800,Yes,Widowed,,Self-Employed,5000,,No,Yes
Unknown,60000,,Chicago,2BHK,32GB,700,Yes,Single,,Salaried,5000,Medium,No,
,70000,Male,Los Angeles,3BHK,,,Yes,Divorced,3,,5000,Low,No,Yes
,70000,F,New York,Studio,,600,Yes,,2,Salaried,20000,Medium,No,Yes
35,1500000,Male,,3BHK,4GB,Poor,Yes,Divorced,3,Business,5000,Medium,No,No
,70000,,Chicago,3BHK,6GB,700,Yes,,,Salaried,Unknown,Very High,No,Yes
Unknown,70000,Other,Chicago,2BHK,32GB,700,Yes,Single,1,Salaried,50000,,No,Yes
Unknown,70000,M,New York,Studio,2GB,,Yes,Married,,Unemployed,Unknown,Very High,No,Yes
30,60000,,Chicago,3BHK,2GB,,Yes,Widowed,1,,,High,No,No
30,80000,Male,Chicago,2BHK,8GB,700,Yes,Single,0,Salaried,5000,Medium,No,Yes
,70000,F,Los Angeles,Studio,8GB,,Yes,Widowed,N/A,Unemployed,150000,High,No,
45,60000,Male,,Studio,2GB,600,Yes,Married,,Self-Employed,20000,Very High,No,
28,60000,Male,Los Angeles,Studio,,600,Yes,Married,3,Unemployed,,,No,Yes
28,90000,Female,Chicago,4bhk,2GB,,Yes,Single,0,Unemployed,150000,Very High,No,
,80000,Male,New York,Studio,16GB,700,Yes,Married,N/A,Unemployed,20000,,No,Yes
40,70000,Other,Los Angeles,Studio,16GB,Poor,No,,3,Salaried,,,No,Yes
Unknown,80000,Female,,Studio,8GB,400,Yes,Married,2,Salaried,50000,Low,No,Yes
,90000,,Chicago,3BHK,16GB,Excellent,Yes,Widowed,3,Self-Employed,Unknown,Medium,No,
-12,N/A,Other,Los Angeles,1BHK,16GB,Excellent,No,Widowed,1,Business,10000,Very High,No,No
,90000,Other,,1BHK,4GB,300,Yes,Widowed,1,Business,Unknown,,No,
45,70000,Female,Chicago,1BHK,8GB,Excellent,Yes,Widowed,2,Business,5000,Very High,No,No
45,70000,Male,Los Angeles,Studio,4GB,700,Yes,,0,Self-Employed,150000,Very High,No,No
Unknown,90000,,Los Angeles,3BHK,,800,Yes,Divorced,N/A,Business,10000,,No,Yes
,1500000,,Los Angeles,1BHK,16GB,Poor,Yes,Single,3,Business,20000,High,No,No
28,N/A,Female,Chicago,Studio,8GB,300,Yes,Widowed,1,Unemployed,50000,Medium,No,Yes
Unknown,N/A,,Chicago,3BHK,32GB,Poor,Yes,Married,0,Salaried,50000,Medium,No,Yes
Unknown,90000,F,Los Angeles,3BHK,8GB,600,Yes,Widowed,2,Salaried,20000,Low,No,
,60000,Male,Chicago,2BHK,6GB,700,Yes,Married,,Unemployed,5000,Low,No,Yes
Unknown,60000,F,Chicago,Studio,8GB,300,Yes,Married,1,Unemployed,20000,Low,No,No
Unknown,,Female,Los Angeles,Studio,32GB,400,Yes,Widowed,2,Unemployed,,Medium,No,Yes
,,Male,,Studio,2GB,,Yes,,3,Salaried,150000,High,No,No
,N/A,Male,Los Angeles,4bhk,,400,Yes,Married,N/A,Business,150000,Medium,No,
Unknown,60000,F,Los Angeles,4bhk,6GB,Poor,Yes,Married,1,Unemployed,5000,Medium,No,Yes
,N/A,Male,,3BHK,6GB,800,Yes,Widowed,1,Self-Employed,10000,Medium,No,No
,60000,Other,New York,2BHK,2GB,500,Yes,Married,3,Unemployed,20000,Medium,No,Yes
40,80000,Other,New York,4bhk,2GB,,Yes,Married,,,5000,High,No,
25,,F,Los Angeles,Studio,2GB,Poor,Yes,Widowed,0,Unemployed,150000,Low,No,
25,1500000,M,,4bhk,2GB,700,Yes,Widowed,N/A,Salaried,10000,Very High,No,Yes
25,70000,Male,,1BHK,2GB,Excellent,Yes,Single,1,Unemployed,20000,Low,No,
35,60000,M,Chicago,1BHK,32GB,Excellent,Yes,,N/A,,50000,Low,No,No
,60000,Male,Los Angeles,1BHK,32GB,Poor,Yes,,1,Self-Employed,20000,Very High,No,Yes
35,60000,Male,Chicago,2BHK,,300,Yes,Married,N/A,Business,Unknown,Medium,No,
40,90000,,New York,4bhk,8GB,Poor,Yes,,2,Unemployed,20000,High,No,
30,1500000,Female,New York,3BHK,2GB,Poor,Yes,Married,1,,Unknown,High,No,Yes
,60000,Male,,Studio,8GB,300,Yes,Single,N/A,,10000,Low,No,Yes
30,70000,F,,3BHK,2GB,,Yes,Widowed,0,Self-Employed,20000,Very High,No,No
,1500000,,Chicago,1BHK,,600,Yes,Widowed,2,Salaried,10000,,No,
,70000,M,Chicago,3BHK,2GB,400,Yes,Widowed,2,Unemployed,10000,Medium,No,
30,1500000,,New York,4bhk,2GB,Excellent,Yes,,0,,150000,Low,No,
,70000,Male,New York,Studio,2GB,700,Yes,Single,N/A,Self-Employed,5000,High,No,
Unknown,1500000,,,2BHK,2GB,800,Yes,,3,Business,10000,Very High,No,
28,60000,Female,,2BHK,16GB,600,Yes,,0,,10000,Very High,No,No
30,N/A,Male,Los Angeles,Studio,4GB,500,Yes,Single,N/A,Self-Employed,150000,Low,No,Yes
40,90000,Male,New York,Studio,16GB,,Yes,Single,0,Salaried,150000,,No,Yes
Unknown,70000,Male,New York,3BHK,32GB,600,Yes,Single,0,Salaried,20000,High,No,
30,60000,M,New York,1BHK,16GB,300,Yes,Single,1,,150000,Low,No,
40,70000,Male,Chicago,2BHK,8GB,400,Yes,Widowed,N/A,,20000,,No,
,80000,Male,Los Angeles,Studio,32GB,400,Yes,Divorced,3,Unemployed,50000,Very High,No,No
25,90000,Male,New York,3BHK,2GB,Excellent,Yes,Divorced,1,Self-Employed,150000,Medium,No,Yes
35,90000,F,Los Angeles,Studio,8GB,600,Yes,Single,0,,5000,High,No,
,90000,,Los Angeles,4bhk,16GB,,Yes,Divorced,,Unemployed,10000,High,No,Yes
30,60000,,New York,Studio,,,Yes,Divorced,0,Unemployed,5000,,No,
45,90000,Male,New York,2BHK,6GB,Poor,Yes,Single,0,,Unknown,Low,No,Yes
,90000,Female,Chicago,3BHK,,,Yes,Divorced,N/A,Salaried,150000,Very High,No,Yes
,N/A,Male,Chicago,Studio,,Excellent,Yes,,N/A,Self-Employed,10000,,No,Yes
40,1500000,Male,Los Angeles,3BHK,2GB,400,Yes,Married,1,Self-Employed,5000,Medium,No,
28,1500000,,Los Angeles,1BHK,4GB,Excellent,Yes,Married,3,Salaried,150000,Medium,No,No
40,80000,M,New York,2BHK,,300,Yes,Single,1,,150000,Medium,No,Yes
28,1500000,,Chicago,3BHK,32GB,500,Yes,Widowed,2,Self-Employed,50000,,No,No
30,1500000,Male,Chicago,2BHK,16GB,700,Yes,Single,0,,50000,Very High,No,Yes
,N/A,Male,Los Angeles,3BHK,2GB,,Yes,Widowed,,,10000,High,No,
Unknown,N/A,,,3BHK,8GB,300,Yes,Married,0,Unemployed,Unknown,Low,No,
Unknown,70000,Other,New York,Studio,2GB,400,Yes,Single,0,Salaried,50000,High,No,
28,60000,M,,2BHK,8GB,,Yes,,1,,50000,Very High,No,Yes
25,60000,Other,Los Angeles,Studio,2GB,Poor,Yes,Divorced,,Business,Unknown,High,No,
45,70000,F,,2BHK,32GB,400,No,Widowed,,Salaried,5000,,No,Yes
28,60000,Male,Los Angeles,1BHK,2GB,400,Yes,Divorced,,Self-Employed,50000,Medium,No,No
,90000,Other,Chicago,4bhk,2GB,Poor,Yes,Divorced,1,Unemployed,20000,Very High,No,Yes
,1500000,Male,New York,3BHK,8GB,700,Yes,Single,0,Self-Employed,,Very High,No,No
25,60000,Male,,2BHK,8GB,700,Yes,Divorced,1,Self-Employed,,High,No,Yes
Unknown,,,Los Angeles,2BHK,16GB,700,Yes,,N/A,Salaried,50000,,No,Yes
,90000,F,Los Angeles,4bhk,16GB,700,Yes,Divorced,N/A,Self-Employed,5000,High,No,Yes
,N/A,,,Studio,8GB,800,No,Single,1,,150000,High,No,Yes
28,70000,Male,New York,1BHK,2GB,,Yes,,,Self-Employed,5000,Very High,No,Yes
30,90000,Male,New York,3BHK,2GB,,Yes,Married,0,Unemployed,10000,High,No,
Unknown,,Male,Los Angeles,Studio,2GB,,Yes,Divorced,1,Unemployed,20000,Medium,No,No
,60000,,Los Angeles,Studio,8GB,600,Yes,Single,1,Business,5000,High,No,
25,1500000,,New York,3BHK,32GB,Poor,Yes,Married,1,Unemployed,Unknown,Medium,No,
30,60000,F,Los Angeles,2BHK,2GB,600,Yes,Married,2,Self-Employed,20000,Very High,No,
30,60000,Male,,2BHK,8GB,300,Yes,Widowed,N/A,Unemployed,,,No,
,70000,Male,Los Angeles,Studio,2GB,600,Yes,,,Salaried,20000,Medium,No,
30,70000,Male,Chicago,3BHK,,Excellent,Yes,Divorced,3,Unemployed,Unknown,,Yes,Yes
30,70000,,New York,2BHK,2GB,600,Yes,Single,,,50000,,No,
,70000,Male,New York,3BHK,2GB,,Yes,Widowed,3,Salaried,Unknown,Medium,No,Yes
30,1500000,Male,Chicago,2BHK,16GB,,Yes,,2,Business,Unknown,Very High,No,Yes
30,90000,Male,Los Angeles,2BHK,2GB,500,Yes,Widowed,1,,50000,Low,No,Yes
30,90000,Male,New York,Studio,8GB,500,Yes,,2,Self-Employed,50000,,No,Yes
28,70000,Male,New York,1BHK,,400,Yes,,2,Self-Employed,50000,,No,
30,70000,F,,3BHK,32GB,400,Yes,Divorced,0,Self-Employed,50000,Very High,No,Yes
28,50000,Other,Los Angeles,2BHK,8GB,,Yes,,N/A,,50000,Very High,No,Yes
40,50000,,Los Angeles,2BHK,8GB,700,Yes,Widowed,3,,Unknown,High,No,No
40,90000,Male,New York,Studio,8GB,,Yes,,1,,10000,Very High,No,Yes
45,70000,Female,New York,4bhk,8GB,400,Yes,Divorced,3,Salaried,10000,,No,
45,50000,Other,Los Angeles,1BHK,6GB,Excellent,Yes,Divorced,,Salaried,5000,Medium,No,
35,90000,Male,New York,3BHK,2GB,500,Yes,Widowed,3,Self-Employed,10000,Low,No,Yes
Unknown,80000,M,Los Angeles,3BHK,,600,No,Married,,Unemployed,,High,No,Yes
30,80000,Male,Los Angeles,4bhk,16GB,400,Yes,Married,N/A,Self-Employed,10000,Medium,No,Yes
28,1500000,Male,Los Angeles,Studio,8GB,700,Yes,,,Business,Unknown,Low,No,No
28,90000,Female,,4bhk,8GB,,Yes,Single,3,Salaried,50000,Low,No,Yes
,60000,Male,New York,3BHK,8GB,400,Yes,,3,,50000,Low,No,Yes
Unknown,N/A,Male,Chicago,Studio,8GB,Poor,Yes,Widowed,,Salaried,150000,Medium,No,Yes
,1500000,M,,Studio,4GB,500,Yes,Widowed,2,,150000,High,No,Yes
25,1500000,Other,Los Angeles,Studio,8GB,500,Yes,Widowed,N/A,Business,150000,High,No,
30,90000,Male,Chicago,Studio,,800,Yes,Widowed,0,Business,Unknown,Low,No,No
,1500000,Male,Los Angeles,Studio,8GB,600,Yes,Widowed,1,Salaried,,Medium,No,
Unknown,60000,Female,New York,2BHK,,600,Yes,Divorced,3,,10000,Low,No,No
30,70000,M,Chicago,3BHK,8GB,400,Yes,Married,1,Business,Unknown,Very High,No,
30,70000,M,,1BHK,32GB,400,Yes,Widowed,0,Self-Employed,5000,High,No,Yes
25,70000,Male,Los Angeles,Studio,,800,Yes,Single,1,Self-Employed,50000,,No,No
,70000,M,New York,3BHK,6GB,,Yes,Single,0,,150000,Low,No,Yes
28,60000,,New York,Studio,,300,Yes,Single,,Salaried,20000,Very High,No,Yes
Unknown,,,Chicago,2BHK,8GB,300,Yes,Single,2,Business,5000,High,No,Yes
28,60000,Male,Chicago,2BHK,8GB,400,Yes,Divorced,3,Salaried,150000,Medium,No,
,1500000,Female,Chicago,Studio,8GB,Poor,Yes,Single,0,Self-Employed,,High,No,Yes
,90000,Male,New York,3BHK,2GB,500,Yes,Widowed,1,Business,5000,Medium,No,
Unknown,1500000,Male,Chicago,2BHK,4GB,Excellent,Yes,,3,Salaried,Unknown,Medium,Yes,
45,90000,F,New York,1BHK,2GB,Poor,Yes,Single,2,Unemployed,10000,Low,No,Yes
,60000,Other,Chicago,3BHK,,500,Yes,Divorced,,,50000,Low,No,
,80000,Other,New York,3BHK,32GB,500,Yes,Divorced,3,,,High,No,Yes
,50000,Other,Chicago,3BHK,8GB,700,Yes,Single,0,Unemployed,,Very High,No,Yes
,70000,Other,Chicago,3BHK,32GB,800,Yes,,2,Self-Employed,20000,High,No,
40,70000,Male,New York,Studio,6GB,Poor,Yes,Single,1,Business,5000,,No,No
35,80000,,Chicago,2BHK,16GB,Excellent,Yes,Divorced,2,,20000,Medium,No,Yes
